epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,1210.3,1.05402,0.79836,1.15424,0.89065,0.89465,0.93379,0.62119,1.19698,0.69629,1.28522,4.41014e-05,4.41014e-05,4.41014e-05
73,1228.55,1.04449,0.78016,1.13568,0.91381,0.87698,0.93975,0.62878,1.17912,0.70122,1.27517,4.37648e-05,4.37648e-05,4.37648e-05
74,1244.58,1.03897,0.77638,1.13397,0.89309,0.89462,0.93443,0.62275,1.19563,0.70574,1.28499,4.34282e-05,4.34282e-05,4.34282e-05
75,1532.14,1.04288,0.78045,1.13941,0.88746,0.89507,0.93514,0.62343,1.19581,0.69259,1.2903,4.30916e-05,4.30916e-05,4.30916e-05
76,1543.61,1.04921,0.77983,1.14622,0.88674,0.88195,0.93088,0.62138,1.19711,0.72027,1.29898,4.2755e-05,4.2755e-05,4.2755e-05
77,1555.53,1.06404,0.78435,1.15127,0.88807,0.89242,0.93582,0.6294,1.18607,0.69543,1.28906,4.24184e-05,4.24184e-05,4.24184e-05
78,1574.28,1.05916,0.80265,1.141,0.90228,0.88386,0.93515,0.62545,1.19964,0.68701,1.29745,4.20818e-05,4.20818e-05,4.20818e-05
79,1589.87,1.03722,0.7591,1.1338,0.88513,0.90149,0.93786,0.62753,1.18978,0.68093,1.29374,4.17452e-05,4.17452e-05,4.17452e-05
80,1606.47,1.03553,0.77528,1.13488,0.88522,0.90045,0.93549,0.63006,1.18329,0.68129,1.28438,4.14086e-05,4.14086e-05,4.14086e-05
81,1622.27,1.05513,0.7885,1.14816,0.9033,0.88225,0.93241,0.62675,1.20125,0.72635,1.28405,4.1072e-05,4.1072e-05,4.1072e-05
82,1640.81,1.06537,0.80146,1.15175,0.89777,0.89343,0.93629,0.63624,1.18102,0.70218,1.2817,4.07354e-05,4.07354e-05,4.07354e-05
83,1659,1.04553,0.76579,1.13977,0.87665,0.89869,0.93554,0.63195,1.18284,0.70021,1.28805,4.03988e-05,4.03988e-05,4.03988e-05
84,1676.47,1.04554,0.78409,1.14046,0.89221,0.87853,0.93192,0.62503,1.17937,0.698,1.2834,4.00622e-05,4.00622e-05,4.00622e-05
85,1692.22,1.03537,0.75956,1.13481,0.89631,0.88746,0.93192,0.62485,1.19079,0.69896,1.29128,3.97256e-05,3.97256e-05,3.97256e-05
86,1709.33,1.03928,0.76212,1.12857,0.89766,0.88928,0.92783,0.62161,1.19951,0.7073,1.29777,3.9389e-05,3.9389e-05,3.9389e-05
87,1725.48,1.03744,0.7715,1.14171,0.87737,0.87605,0.92211,0.62576,1.18951,0.70638,1.29267,3.90524e-05,3.90524e-05,3.90524e-05
88,1741.07,1.02734,0.75032,1.12421,0.88969,0.8744,0.92578,0.62749,1.18634,0.68242,1.28885,3.87158e-05,3.87158e-05,3.87158e-05
89,1756.62,1.02381,0.75851,1.1283,0.85347,0.9157,0.92587,0.62497,1.18168,0.68731,1.2824,3.83792e-05,3.83792e-05,3.83792e-05
90,1775.46,1.05053,0.76188,1.1402,0.89231,0.90072,0.94152,0.63349,1.19943,0.68955,1.29192,3.80426e-05,3.80426e-05,3.80426e-05
91,1792.29,1.02922,0.75588,1.12099,0.88432,0.88999,0.93342,0.62887,1.18188,0.70615,1.28968,3.7706e-05,3.7706e-05,3.7706e-05
92,1806.69,1.0511,0.76762,1.14271,0.89228,0.8841,0.93741,0.63203,1.17835,0.70289,1.28582,3.73694e-05,3.73694e-05,3.73694e-05
93,1823.2,1.04535,0.75442,1.14034,0.89702,0.88401,0.93994,0.63463,1.18686,0.69847,1.29041,3.70328e-05,3.70328e-05,3.70328e-05
94,1841.29,1.01852,0.7493,1.12326,0.87884,0.90266,0.93704,0.63491,1.17485,0.68247,1.28199,3.66962e-05,3.66962e-05,3.66962e-05
95,1857.37,1.04162,0.77105,1.13629,0.8957,0.88249,0.93556,0.62787,1.18703,0.70393,1.28401,3.63596e-05,3.63596e-05,3.63596e-05
96,1873.51,1.03664,0.7637,1.13577,0.88325,0.89562,0.93187,0.63027,1.19088,0.6968,1.28814,3.6023e-05,3.6023e-05,3.6023e-05
97,1889.52,1.02784,0.76392,1.12551,0.91092,0.87064,0.93638,0.63641,1.18239,0.69664,1.28693,3.56864e-05,3.56864e-05,3.56864e-05
98,1907.39,1.03508,0.76658,1.1385,0.89385,0.89559,0.93838,0.63378,1.18192,0.68313,1.28577,3.53498e-05,3.53498e-05,3.53498e-05
99,1923.52,1.02838,0.76249,1.13259,0.88686,0.90557,0.93577,0.6362,1.19579,0.68984,1.28905,3.50132e-05,3.50132e-05,3.50132e-05
100,1940.38,1.03444,0.76386,1.13656,0.8943,0.89088,0.93571,0.63329,1.18632,0.70551,1.28571,3.46766e-05,3.46766e-05,3.46766e-05
101,1954.6,1.00987,0.74799,1.11375,0.90119,0.89012,0.9363,0.63238,1.19263,0.70797,1.28955,3.434e-05,3.434e-05,3.434e-05
102,1972.78,1.0242,0.74151,1.13058,0.90368,0.88636,0.93543,0.63207,1.1929,0.69406,1.30015,3.40034e-05,3.40034e-05,3.40034e-05
103,1988.17,1.03035,0.7581,1.1322,0.8944,0.89711,0.93633,0.62862,1.19114,0.68986,1.29403,3.36668e-05,3.36668e-05,3.36668e-05
